Qty,Reference(s),Value,Footprint,Datasheet,Description,Digikey
3,"C100, C116, C117",0.1uF/50V,db-smt:0603,,CAP CER 0.1UF 50V X7R 0603,445-5666-1-ND
1,C101,220uF/10V,db-smt:SMD-6.6x6.6,,CAP ALUM 220UF 20% 10V SMD,493-6210-1-ND
3,"C102, C109, C110",10uF/10V,db-smt:0805,,CAP CER 10UF 10V X5R 0805,311-1460-1-ND
6,"C103, C104, C105, C106, C107, C108",1uF/16V,db-smt:0603,,CAP CER 1UF 16V X5R 0603,445-1416-1-ND
2,"C111, C112",180pF/50V,db-smt:0603,,CAP CER 180PF 50V X7R 0603,311-4096-6-ND
3,"C113, C114, C115",22uF/10V,db-smt:1206_P,,CAP TANT 22UF 10V 10% 1206,478-1663-1-ND
1,CON101,MD-90SM,db-thparts:MD-90SM,http://www.cui.com/product/resource/digikeypdf/md-sm-series.pdf,CONN RCPT FMALE MINI DIN 9P SLDR,CP-2290-ND
1,J101,HDR1X2,db-thparts:HDR1X2,,SIL VERTICAL PC TAIL PIN HEADER,952-2262-ND
2,"R102, R116",2.20k,db-smt:0603,,RES SMD 2.20K OHM 1% 1/10W 0603,P2.20KHCT-ND
2,"R113, R119",DNP,db-smt:0603,,DNP,DNP
4,"R103, R104, R105, R106",5.62k,db-smt:0603,,RES SMD 5.62K OHM 1% 1/10W 0603,P5.62KHCT-ND
4,"R107, R108, R109, R110",1.00k,db-smt:0603,,RES SMD 1K OHM 1% 1/10W 0603,P1.00KHCT-ND
1,R111,100k,db-smt:0603,,RES SMD 100K OHM 1% 1/10W 0603,P100KHCT-ND
2,"R123, R124",120k,db-smt:0603,,RES SMD 120K OHM 1% 1/10W 0603,P120KHCT-ND
5,"R112, R114, R115, R117, R118",75,db-smt:0603,,RES 75.0 OHM 1/10W 1% 0603 SMD,P75.0HCT-ND
2,"R120, R127",56.0k,db-smt:0603,,RES 56.0K OHM 1/10W 1% 0603 SMD,P56.0KHCT-ND
4,"R121, R122, R125, R126",130k,db-smt:0603,,RES 130K OHM 1/10W 1% 0603 SMD,P130KHCT-ND
2,"R128, R129",10.0k,db-smt:0603,,RES 10.0K OHM 1/10W 1% 0603 SMD,P10.0KHCT-ND
2,"R130, R131",240k,db-smt:0603,,RES 240K OHM 1/10W 1% 0603 SMD,P240KHCT-ND
2,"R132, R133",332,db-smt:0603,,RES 332 OHM 1/10W 1% 0603 SMD,P332HCT-ND
1,U101,THS7374IPWR,db-smt:TSSOP-14,http://www.ti.com/lit/ds/symlink/ths7374.pdf,IC SDTV VIDEO AMP 4-CH 14-TSSOP,296-41661-1-ND
1,U102,LMV358M8G-13,db-smt:TSSOP-8_3.0mm,https://www.diodes.com/assets/Datasheets/LMV321_358.pdf,IC OPAMP GP 1MHZ RRO 8MSOP,LMV358M8G-13DITR-ND
